chrom,num_fragments,mean,median,min,max
NT_173445.1,36,132.91666666666666,118.0,5,545
NT_173446.1,41,116.73170731707317,75.0,5,573
NT_173447.1,38,126.10526315789474,76.0,5,545
NT_173448.1,40,119.825,75.0,5,544
NT_173449.1,37,129.59459459459458,113.0,5,547
NT_173450.1,38,126.21052631578948,97.0,5,545
NT_173451.1,44,109.02272727272727,69.5,5,490
NT_173452.1,41,117.1951219512195,81.0,5,545
NT_173453.1,41,117.39024390243902,70.0,5,546
NT_173454.1,43,112.13953488372093,69.0,2,544
NT_173455.1,42,115.02380952380952,84.0,5,358
NT_173456.1,46,105.02173913043478,69.5,5,358
NT_173457.1,43,112.34883720930233,75.0,5,545
NT_173458.1,22,220.13636363636363,210.0,28,447
NT_173459.1,40,121.25,72.5,5,544
NT_173460.1,40,121.425,79.5,5,414
NT_173461.1,47,103.63829787234043,70.0,5,546
NT_173462.1,41,118.82926829268293,82.0,5,545
NT_173463.1,40,121.9,81.5,5,545
NT_173464.1,21,232.33333333333334,122.0,26,1010
NT_173465.1,43,113.46511627906976,70.0,1,519
NT_173466.1,38,128.55263157894737,106.5,5,545
NT_173467.1,42,116.30952380952381,76.0,5,518
NT_173468.1,40,122.25,69.0,5,594
NT_173469.1,37,132.35135135135135,90.0,16,557
NT_173470.1,24,204.20833333333334,154.5,12,832
NT_173471.1,43,114.11627906976744,89.0,5,363
NT_173472.1,34,144.35294117647058,111.0,11,520
NT_173473.1,40,122.775,78.5,5,544
NT_173474.1,33,148.96969696969697,113.0,13,804
NT_173475.1,25,197.04,145.0,6,1018
NT_173476.1,42,117.4047619047619,72.5,5,545
NT_173477.1,41,120.26829268292683,75.0,3,545
NT_173478.1,39,126.58974358974359,82.0,5,547
NT_173479.1,40,123.45,78.5,5,545
NT_173480.1,24,205.79166666666666,153.0,14,643
NT_173481.1,30,164.63333333333333,141.5,8,443
NT_173482.1,47,105.31914893617021,102.0,14,221
NT_173483.1,26,190.53846153846155,107.5,24,723
NT_173484.1,49,101.16326530612245,63.0,5,517
NT_173485.1,37,134.21621621621622,81.0,4,529
NT_173486.1,44,112.93181818181819,69.5,5,545
NT_173487.1,22,225.95454545454547,191.0,10,658
NT_173488.1,41,121.36585365853658,69.0,6,717
NT_173489.1,38,131.07894736842104,87.5,5,545
NT_173490.1,44,113.25,73.5,5,545
NT_173491.1,42,118.80952380952381,110.5,6,373
NT_173492.1,13,384.2307692307692,290.0,28,1276
NT_173493.1,46,108.8695652173913,73.0,4,543
NT_173494.1,45,111.33333333333333,74.0,5,589
NT_173495.1,43,116.53488372093024,70.0,5,545
NT_173496.1,20,250.75,175.0,17,1127
NT_173497.1,49,102.44897959183673,69.0,5,408
NT_173498.1,29,173.20689655172413,110.0,7,820
NT_173499.1,17,295.7647058823529,154.0,15,1564
NT_173500.1,24,209.625,184.5,31,643
NT_173501.1,43,117.04651162790698,75.0,5,358
NT_173502.1,41,122.78048780487805,100.0,5,545
NT_173503.1,25,201.56,102.0,8,953
NT_173504.1,44,114.5909090909091,73.0,5,547
NT_173505.1,43,117.27906976744185,93.0,5,546
NT_173506.1,18,280.27777777777777,168.5,45,1466
NT_173507.1,45,112.26666666666667,70.0,5,542
NT_173508.1,24,210.75,143.5,11,1129
NT_173509.1,43,117.74418604651163,82.0,5,766
NT_173510.1,44,115.11363636363636,70.0,5,750
NT_173511.1,46,110.15217391304348,69.0,5,545
NT_173512.1,45,112.71111111111111,70.0,5,545
NT_173513.1,51,99.6078431372549,70.0,5,544
NT_173514.1,45,112.97777777777777,75.0,5,751
NT_173515.1,55,92.61818181818182,52.0,5,527
NT_173516.1,58,87.94827586206897,55.0,5,545
NT_173517.1,43,118.62790697674419,82.0,5,750
NT_173518.1,27,189.0,120.0,12,650
NT_173519.1,39,131.10256410256412,100.0,5,545
NT_173520.1,40,127.95,78.5,5,547
NT_173521.1,17,301.1764705882353,157.0,15,1436
NT_173522.1,42,121.95238095238095,70.0,5,545
NT_173523.1,44,116.5,69.0,5,545
NT_173524.1,48,106.85416666666667,69.5,5,545
NT_173525.1,17,301.88235294117646,192.0,29,1167
NT_173526.1,32,160.4375,97.0,5,750
NT_173527.1,44,116.72727272727273,66.0,5,749
NT_173528.1,43,119.51162790697674,77.0,5,545
NT_173529.1,24,214.125,167.0,14,656
NT_173530.1,39,131.89743589743588,100.0,5,840
NT_173531.1,32,160.8125,133.0,13,635
NT_173532.1,10,515.0,456.5,23,1191
NT_173533.1,29,177.68965517241378,112.0,4,789
NT_173534.1,39,132.17948717948718,100.0,5,545
NT_173535.1,39,132.3846153846154,71.0,14,723
NT_173536.1,48,107.64583333333333,70.0,5,517
NT_173537.1,48,107.6875,72.5,5,548
NT_173538.1,42,123.0952380952381,78.5,5,545
NT_173539.1,29,178.51724137931035,113.0,4,512
NT_173540.1,30,172.63333333333333,145.0,12,616
NT_173541.1,22,235.6818181818182,179.0,10,1565
NT_173542.1,43,120.67441860465117,72.0,8,516
NT_173543.1,61,85.09836065573771,38.0,14,226
NT_173544.1,49,106.0,29.0,4,1208
NT_173545.1,51,101.98039215686275,70.0,4,321
NT_173546.1,37,140.7027027027027,82.0,5,547
NT_173547.1,25,208.4,154.0,11,755
NT_173548.1,48,108.58333333333333,87.5,5,549
NT_173549.1,43,121.20930232558139,69.0,5,545
NT_173550.1,46,113.52173913043478,75.0,5,544
NT_173551.1,43,121.53488372093024,100.0,5,545
NT_173552.1,21,248.85714285714286,175.0,15,641
NT_173553.1,45,116.15555555555555,69.0,3,545
NT_173554.1,23,227.30434782608697,161.0,15,615
NT_173555.1,42,124.47619047619048,78.5,3,545
NT_173556.1,27,193.88888888888889,217.0,7,446
NT_173557.1,25,209.56,142.0,29,657
NT_173558.1,49,106.95918367346938,70.0,5,332
NT_173559.1,25,209.84,182.0,11,646
NT_173560.1,14,374.7142857142857,320.0,6,829
NT_173561.1,48,109.39583333333333,66.0,5,522
NT_173562.1,38,138.18421052631578,118.0,5,547
NT_173563.1,53,99.15094339622641,70.0,5,358
NT_173564.1,42,125.19047619047619,102.0,5,545
NT_173565.1,53,99.22641509433963,75.0,5,544
NT_173566.1,58,90.67241379310344,48.0,5,545
NT_173567.1,43,122.46511627906976,75.0,5,545
NT_173568.1,21,251.0952380952381,132.0,51,828
NT_173569.1,50,105.46,69.5,5,358
NT_173570.1,25,210.96,182.0,7,1054
NT_173571.1,45,117.35555555555555,82.0,5,545
NT_173572.1,32,165.28125,114.0,8,846
NT_173573.1,22,240.5909090909091,206.0,6,606
NT_173574.1,24,220.58333333333334,198.0,12,688
NT_173575.1,32,165.625,170.0,8,554
NT_173576.1,44,120.6590909090909,87.5,5,545
NT_173577.1,20,266.45,150.5,14,1293
NT_173578.1,43,124.04651162790698,75.0,5,634
NT_173579.1,16,333.6875,249.0,25,1681
NT_173580.1,19,281.1578947368421,164.0,5,1220
NT_173581.1,46,116.23913043478261,73.0,5,547
NT_173582.1,30,178.23333333333332,99.0,14,837
NT_173583.1,46,116.28260869565217,74.5,1,544
NT_173584.1,44,121.63636363636364,90.0,5,548
NT_173585.1,44,121.75,75.0,5,545
NT_173586.1,40,134.125,93.5,5,512
NT_173587.1,18,298.3888888888889,279.0,13,874
NT_173588.1,44,122.13636363636364,72.0,6,545
NT_173589.1,43,125.04651162790698,78.0,6,374
NT_173590.1,47,114.44680851063829,70.0,5,550
NT_173591.1,46,116.95652173913044,64.0,5,545
NT_173592.1,46,117.08695652173913,95.5,5,545
NT_173593.1,28,192.5,143.0,6,536
NT_173594.1,44,122.5909090909091,69.5,5,545
NT_173595.1,53,101.84905660377359,63.0,1,540
NT_173596.1,46,117.3695652173913,100.5,5,409
NT_173597.1,48,112.58333333333333,82.0,5,545
NT_173598.1,44,122.8409090909091,100.0,5,358
NT_173599.1,29,186.41379310344828,147.0,5,871
NT_173600.1,52,104.0576923076923,63.0,5,517
NT_173601.1,42,128.88095238095238,100.0,5,545
NT_173602.1,18,300.77777777777777,306.0,13,826
NT_173603.1,42,128.97619047619048,115.5,5,544
NT_173604.1,52,104.1923076923077,64.0,5,545
NT_173605.1,45,120.44444444444444,75.0,1,545
NT_173606.1,18,301.1111111111111,252.0,24,989
NT_173607.1,48,113.1875,66.0,6,545
NT_173608.1,21,258.9047619047619,100.0,4,1398
NT_173609.1,28,194.21428571428572,127.0,4,800
NT_173610.1,25,217.84,192.0,12,744
NT_173611.1,20,272.45,183.0,11,1391
NT_173612.1,48,113.54166666666667,72.5,5,545
NT_173613.1,36,151.44444444444446,97.5,17,528
NT_173614.1,47,116.02127659574468,74.0,5,657
NT_173615.1,26,209.73076923076923,191.5,12,554
NT_173616.1,18,302.94444444444446,156.0,12,953
NT_173617.1,52,104.96153846153847,69.5,5,451
NT_173618.1,32,170.625,113.0,12,995
NT_173619.1,42,130.02380952380952,106.5,5,545
NT_173620.1,44,124.13636363636364,72.5,5,752
NT_173621.1,51,107.2156862745098,70.0,5,546
NT_173622.1,46,118.93478260869566,72.5,5,752
NT_173623.1,47,116.42553191489361,100.0,2,357
NT_173624.1,39,140.71794871794873,103.0,4,639
NT_173625.1,53,103.67924528301887,63.0,5,555
NT_173626.1,44,125.02272727272727,72.5,5,544
NT_173627.1,45,122.24444444444444,75.0,5,540
NT_173628.1,45,122.35555555555555,99.0,5,548
NT_173629.1,63,87.4920634920635,11.0,4,855
NT_173630.1,50,110.28,54.5,5,545
NT_173631.1,47,117.44680851063829,76.0,5,749
NT_173632.1,47,117.46808510638297,69.0,5,547
NT_173633.1,37,149.21621621621622,120.0,5,938
NT_173634.1,47,117.48936170212765,67.0,5,545
NT_173635.1,53,104.39622641509433,52.0,5,545
NT_173636.1,41,134.97560975609755,90.0,4,498
NT_173637.1,54,102.64814814814815,74.5,5,358
NT_173638.1,47,117.95744680851064,70.0,5,545
NT_173639.1,47,117.97872340425532,75.0,5,545
NT_173640.1,45,123.4,75.0,5,545
NT_173641.1,62,89.64516129032258,54.0,5,408
NT_173642.1,52,106.98076923076923,78.5,5,547
NT_173643.1,54,103.05555555555556,66.0,1,750
NT_173644.1,44,126.52272727272727,72.0,9,698
NT_173645.1,46,121.1304347826087,87.0,6,545
NT_173646.1,56,99.53571428571429,60.5,5,522
NT_173647.1,51,109.41176470588235,75.0,5,544
NT_173648.1,49,114.0204081632653,89.0,4,496
NT_173649.1,44,127.06818181818181,87.5,5,545
NT_173650.1,52,107.53846153846153,72.0,5,544
NT_173651.1,48,116.52083333333333,64.0,5,545
NT_173652.1,15,372.8666666666667,242.0,6,1314
NT_173653.1,42,133.1904761904762,78.5,5,733
NT_173654.1,56,99.91071428571429,60.5,5,750
NT_173655.1,56,99.91071428571429,70.0,5,322
NT_173656.1,34,164.55882352941177,120.5,1,587
NT_173657.1,40,139.95,87.5,3,881
NT_173658.1,54,103.77777777777777,69.5,5,547
NT_173659.1,43,130.32558139534885,75.0,5,545
NT_173660.1,50,112.1,78.5,5,750
NT_173661.1,21,267.04761904761904,245.0,33,833
NT_173662.1,30,186.96666666666667,136.5,4,628
NT_173663.1,20,280.65,172.5,12,1918
NT_173664.1,52,108.0,60.5,4,529
NT_173665.1,48,117.04166666666667,69.5,4,545
NT_173666.1,37,151.83783783783784,98.0,5,849
NT_173667.1,146,38.61643835616438,18.0,5,510
NT_173668.1,57,99.19298245614036,63.0,6,561
NT_173669.1,61,92.73770491803279,63.0,4,545
NT_173670.1,50,113.18,75.0,5,658
NT_173671.1,24,235.95833333333334,151.0,26,975
NT_173672.1,53,106.88679245283019,70.0,5,544
NT_173673.1,23,246.47826086956522,224.0,12,578
NT_173674.1,27,210.0,154.0,20,718
NT_173675.1,22,257.8181818181818,270.5,14,662
NT_173676.1,53,107.0754716981132,75.0,5,746
NT_173677.1,52,109.13461538461539,69.5,5,545
NT_173678.1,45,126.17777777777778,75.0,6,561
NT_173679.1,43,132.13953488372093,111.0,7,585
NT_173680.1,57,99.71929824561404,87.0,4,223
NT_173681.1,26,218.69230769230768,132.0,6,753
NT_173682.1,42,135.38095238095238,118.5,7,337
NT_173683.1,55,103.41818181818182,69.0,5,560
NT_173684.1,44,129.27272727272728,100.0,6,545
NT_173685.1,52,109.46153846153847,73.5,5,544
NT_173686.1,50,113.88,66.0,5,750
NT_173687.1,51,111.70588235294117,70.0,5,548
NT_173688.1,24,237.45833333333334,207.5,11,723
NT_173689.1,41,139.1219512195122,103.0,7,504
NT_173690.1,35,163.0,124.0,12,878
NT_173691.1,36,158.55555555555554,121.5,11,620
NT_173692.1,55,103.89090909090909,52.0,5,545
NT_173693.1,19,300.7894736842105,108.0,11,1371
NT_173694.1,59,96.91525423728814,63.0,5,542
NT_173695.1,55,103.98181818181818,70.0,5,545
NT_173696.1,29,197.24137931034483,123.0,5,601
NT_173697.1,25,228.84,183.0,12,940
NT_173698.1,23,249.04347826086956,197.0,10,676
NT_173699.1,22,260.54545454545456,190.5,19,1038
NT_173700.1,40,143.5,72.5,5,1235
NT_173701.1,49,117.20408163265306,75.0,6,544
NT_173702.1,53,108.41509433962264,102.0,5,545
NT_173703.1,25,230.0,178.0,14,946
NT_173704.1,46,125.06521739130434,87.5,5,545
NT_173705.1,20,287.9,240.5,11,1334
NT_173706.1,48,119.97916666666667,72.5,5,594
NT_173707.1,57,101.10526315789474,71.0,5,549
NT_173708.1,36,160.55555555555554,76.0,5,852
NT_173709.1,51,113.41176470588235,75.0,5,358
NT_173710.1,24,241.29166666666666,133.5,11,1498
NT_173711.1,61,94.95081967213115,52.0,5,545
NT_173712.1,48,120.72916666666667,69.5,5,546
NT_173713.1,50,115.92,67.0,5,714
NT_173714.1,26,222.92307692307693,182.0,14,747
NT_173715.1,48,120.875,72.5,5,518
NT_173716.1,43,134.97674418604652,131.0,5,547
NT_173717.1,45,129.11111111111111,101.0,4,402
NT_173718.1,56,103.78571428571429,53.5,5,545
NT_173719.1,51,113.98039215686275,68.0,6,561
NT_173720.1,48,121.16666666666667,91.0,5,500
NT_173721.1,21,277.04761904761904,157.0,4,1090
NT_173722.1,52,111.9423076923077,82.5,5,548
NT_173723.1,23,253.2173913043478,192.0,12,1658
NT_173724.1,54,107.88888888888889,72.5,5,528
NT_173725.1,20,291.6,230.5,4,791
NT_173726.1,38,153.6578947368421,101.5,12,1375
NT_173727.1,31,188.67741935483872,129.0,11,834
NT_173728.1,46,127.19565217391305,94.5,7,534
NT_173729.1,58,100.93103448275862,75.0,5,545
NT_173730.1,53,110.49056603773585,63.0,5,545
NT_173731.1,31,189.03225806451613,175.0,5,472
NT_173732.1,22,266.8181818181818,224.0,13,1029
NT_173733.1,47,124.95744680851064,100.0,5,567
NT_173734.1,39,150.6153846153846,121.0,7,556
NT_173735.1,59,99.59322033898304,69.0,5,548
NT_173736.1,37,158.9189189189189,118.0,5,558
NT_173737.1,44,133.72727272727272,91.0,5,601
NT_173738.1,53,111.18867924528301,69.0,5,544
NT_173739.1,27,218.37037037037038,169.0,9,889
NT_173740.1,32,184.53125,172.0,10,696
NT_173741.1,23,256.7391304347826,96.0,12,1875
NT_173742.1,34,173.7058823529412,151.0,7,935
NT_173743.1,53,111.47169811320755,75.0,5,544
NT_173744.1,52,113.6923076923077,70.0,4,595
NT_173745.1,22,268.8181818181818,209.0,30,852
NT_173746.1,50,118.44,72.5,5,658
NT_173747.1,51,116.17647058823529,69.0,5,749
NT_173748.1,55,107.81818181818181,62.0,5,545
NT_173749.1,31,191.4516129032258,154.0,7,650
NT_173750.1,58,102.37931034482759,70.0,2,545
NT_173751.1,51,116.45098039215686,99.0,6,408
NT_173752.1,27,220.07407407407408,166.0,14,918
NT_173753.1,48,123.8125,72.5,5,595
NT_173754.1,54,110.25925925925925,72.5,5,526
NT_173755.1,56,106.39285714285714,60.5,5,545
NT_173756.1,52,114.59615384615384,75.0,5,561
NT_173757.1,65,91.76923076923077,63.0,5,545
NT_173758.1,52,114.76923076923077,69.5,5,545
NT_173759.1,55,108.58181818181818,70.0,5,545
NT_173760.1,53,112.75471698113208,82.0,5,547
NT_173761.1,33,181.1818181818182,127.0,7,1300
NT_173762.1,28,213.78571428571428,150.0,17,860
NT_173763.1,39,153.5897435897436,92.0,6,929
NT_173764.1,52,115.23076923076923,69.0,5,548
NT_173765.1,23,260.5652173913044,215.0,4,767
NT_173766.1,50,120.1,72.0,5,545
NT_173767.1,53,113.30188679245283,75.0,5,519
NT_173768.1,22,273.09090909090907,208.5,12,1049
NT_173769.1,57,105.43859649122807,69.0,5,545
NT_173770.1,54,111.29629629629629,69.0,5,750
NT_173771.1,25,240.4,162.0,8,1115
NT_173772.1,31,193.90322580645162,118.0,5,1336
NT_173773.1,33,182.66666666666666,120.0,9,513
NT_173774.1,58,103.93103448275862,72.0,6,561
NT_173775.1,27,223.37037037037038,121.0,10,780
NT_173776.1,64,94.328125,61.5,4,561
NT_173777.1,55,109.78181818181818,75.0,5,747
NT_173778.1,42,143.9047619047619,94.0,9,692
NT_173779.1,23,263.1304347826087,125.0,6,871
NT_173780.1,29,208.79310344827587,135.0,5,705
NT_173781.1,62,97.75806451612904,57.5,6,518
NT_173782.1,37,164.0,129.0,8,525
NT_173783.1,54,112.5,72.5,5,544
NT_173784.1,52,116.9423076923077,72.5,5,545
NT_173785.1,46,132.2391304347826,118.0,5,545
NT_173786.1,44,138.27272727272728,115.5,5,548
NT_173787.1,56,108.64285714285714,66.5,5,544
NT_173788.1,46,132.2608695652174,100.0,5,673
NT_173789.1,53,114.94339622641509,75.0,5,544
NT_173790.1,54,112.85185185185185,75.0,6,545
NT_173791.1,19,320.8421052631579,237.0,33,1288
NT_173792.1,41,148.6829268292683,84.0,13,727
NT_173793.1,21,290.57142857142856,224.0,26,1101
NT_173794.1,36,169.88888888888889,99.0,4,1496
NT_173795.1,25,244.76,171.0,6,861
NT_173796.1,17,360.3529411764706,189.0,14,1481
NT_173797.1,27,227.0,123.0,10,1452
NT_173798.1,58,105.6896551724138,72.5,5,388
NT_173799.1,25,245.24,120.0,4,679
NT_173800.1,44,139.52272727272728,91.0,5,716
NT_173801.1,29,211.72413793103448,123.0,7,625
NT_173802.1,55,111.69090909090909,69.0,5,545
NT_173803.1,19,323.42105263157896,279.0,23,952
NT_173804.1,54,113.79629629629629,74.5,5,544
NT_173805.1,57,107.80701754385964,58.0,6,545
NT_173806.1,33,186.27272727272728,128.0,12,558
NT_173807.1,56,109.80357142857143,52.0,4,545
NT_173808.1,38,161.8684210526316,135.5,4,654
NT_173809.1,53,116.15094339622641,75.0,5,544
NT_173810.1,51,120.82352941176471,80.0,4,545
NT_173811.1,27,228.37037037037038,174.0,9,1056
NT_173812.1,58,106.41379310344827,70.0,5,548
NT_173813.1,23,268.7826086956522,92.0,1,1353
NT_173814.1,53,116.98113207547169,75.0,6,545
NT_173815.1,20,310.1,279.0,13,874
NT_173816.1,54,114.96296296296296,87.5,5,545
NT_173817.1,21,295.95238095238096,270.0,13,826
NT_173818.1,52,119.61538461538461,78.5,5,750
NT_173819.1,54,115.27777777777777,69.5,5,750
NT_173820.1,63,98.82539682539682,63.0,5,358
NT_173821.1,31,200.83870967741936,132.0,3,974
NT_173822.1,52,119.75,70.0,5,605
NT_173823.1,49,127.24489795918367,90.0,5,750
NT_173824.1,55,113.38181818181818,69.0,4,546
NT_173825.1,47,132.72340425531914,100.0,5,545
NT_173826.1,58,107.65517241379311,63.0,5,545
NT_173827.1,50,124.9,88.5,5,545
